detalhe_incidente;tipo_incidente;detalhe_limpo
solicitar ver atualizar novo versão sistema jit onlinar atualização novo versão jit onlinar;Nova instalação;solicitar ver atualizar novo versão jit onlinar atualização novo versão jit onlinar
atualização sistema jit onlinar jit onlinar;Avaliação_Técnica;atualização jit onlinar jit onlinar
não reconhecer rede rede;Erro;reconhecer rede rede
site jit onlinar inoperante jit onlinar;Erro;site inoperante
solicitar criar usuário josemc jit onlinar;Nova instalação;solicitar criar josemc jit onlinar
favor criar acesso jit onlinar fornecedor flex Cnpj acesso jit onlinar;Nova instalação;criar jit onlinar fornecedor flex cnpj jit onlinar
favor criar acesso jit onlinar fornecedor ventto Cnpj acesso jit onlinar;Nova instalação;criar jit onlinar fornecedor ventto jit onlinar
estagiaria agora funcionário normal ponto ir ponto estagiaria ainda novo drt drt estagiario ponto beatriz Souza;Erro;estagiaria agora funcionário normal ponto ponto estagiaria ainda novo drt drt estagiario ponto
solicitar liberação colaborador abaixo acompanhamento entrada saída booking carreta contêiner sistema portaria módulo fiscal sebastiaos josemc acesso sistema portaria módulo fiscal;Nova instalação;solicitar liberação colaborador abaixo acompanhamento entrada saída booking carreta contêiner portaria módulo fiscal sebastiaos josemc portaria módulo fiscal
prezar bom dia hoje manhã sistema ponto amanhecer assim lembrar período fechamento seguir erro benner;Erro;prezar hoje manhã ponto amanhecer assim lembrar período fechamento seguir erro benner
ajustir horário painel produção novo horário atendimento decreto governo covid ajustir horário;Melhorias;ajustir horário painel produção novo horário atendimento decreto governo covid ajustir horário
gerar relatório peso ne modelo kit acessório arcon facilitar ajustir balança peso modelo geração kit;Melhorias;gerar relatório peso modelo kit acessório arcon facilitar ajustir balança peso modelo geração kit
disponibilizar acesso reimpressão boleto posto embalagem linha arcon acesso reimpressão boleto;Melhorias;disponibilizar reimpressão boleto embalagem arcon reimpressão boleto
usuário não conseguir carregar lista ne compressor campo item adicionar novo cadastro corriger incluir família compressor view detalhamento item não conseguir cadastrar compressor;Melhorias;conseguir carregar lista compressor campo item adicionar novo cadastro corriger incluir família compressor view detalhamento item conseguir cadastrar compressor
tratamento impressão etiqueta trane tratamento impressão etiqueta trane;Corretiva;tratamento impressão etiqueta trane tratamento impressão etiqueta trane
acesso novo usuário Metro adriano Carolino sup engenharia acesso Metro;Melhorias;novo metro engenharia metro
solicitar alteração perfil usuário Adrianosc perfil usuário francimarrl atualização perfil sistema Metro;Melhorias;solicitar alteração perfil adrianosc perfil francimarrl atualização perfil metro
modelo produzir ac não apontar automaticamente sistema sisap ac splitr tcl op data apontamento ac arcon pendente;Erro;modelo produzir apontar automaticamente splitr tcl data apontamento arcon pendente
solicitar retira botão importar sap telha principal detalhamento item pois prejudicar apontamento automático ac zerar quantidade produto palete correção detalhamento item;Corretiva;solicitar retira botão importar telha principal detalhamento item pois prejudicar apontamento automático zerar quantidade produto palete correção detalhamento item
solicitar criação posto linha linha ac piso teto arconr ac arcon Evap arcon cond semelhante linha existente criação linha posto piso teto;Nova instalação;solicitar criação piso evap arcon cond semelhante existente criação piso teto
erro executar transação tipo movimento usuário jairh permissão acesso;Corretiva;erro executar transação tipo movimento jairh permissão
ajustir nomenclatura etiq prod modelo evap cond diferenciar modelo sw ex correto Evap atual Evap quantidade caracter não permitir acrescentar correção nomenclatura etiq prod modelo;Melhorias;ajustir nomenclatura etiq prod modelo evap cond diferenciar modelo correto evap atual evap quantidade caracter permitir acrescentar correção nomenclatura etiq prod modelo
instalação etqproduto note usuário sandreyr fernandot ativação etqproduto;Nova instalação;instalação etqproduto note sandreyr fernandot ativação etqproduto
liberação acesso imprimir etiqueta anatel arcon usuário Sandreym fernandot diegocm diegog gabrielsb acesso impressão etiqueta anatelr arcon;Nova instalação;liberação imprimir etiqueta anatel arcon sandreym fernandot diegocm diegog gabrielsb impressão etiqueta anatelr arcon
usuário tiagopn erro sem autorização concluir transação conforme anexo precisar de esse transação dar continuidade atividade sap erro transação;Erro;tiagopn erro autorização concluir transação conforme anexo precisar transação dar continuidade atividade erro transação
erro entrar transação usuário marcost erro transação;Melhorias;erro entrar transação marcost erro transação
usuário tiagoc não conseguir abrir requisição conforme anexo falha autorização;Erro;conseguir abrir requisição conforme anexo falha autorização
perfil relatório cadastro material facilitar criação requisição permissão;Melhorias;perfil relatório cadastro material facilitar criação requisição permissão
sisap não importar dado algum modelo sap detalhamento item modelo importar dado sap sisap;Erro;importar algum modelo detalhamento item modelo importar
usuário andre oliveirar necessitar ter perfil acesso sisap usuário mark Martins alteração;Corretiva;necessitar ter perfil mark martins alteração
apontamento x grupo roteiro versão produção João mende ciente de este atividade apontamento x grupo roteiro versão produção;Corretiva;apontamento grupo roteiro versão produção joão mende ciente atividade apontamento grupo roteiro versão produção
solicitar ajustir horário trabalho sisap linha kit acessório arcon objetivo evitar leitura outro turno ajustir horário linha kit ac;Corretiva;solicitar ajustir horário trabalho kit acessório arcon objetivo evitar leitura outro turno ajustir horário kit
solicitar cadastro novo item copper tube detalhamento item pois novo item não aparecer cadastro cadastro modelo detalhamento item;Erro;solicitar cadastro novo item copper tube detalhamento item pois novo item aparecer cadastro cadastro modelo detalhamento item
transação não funcionando não consiger olhar posição erro sap;Erro;transação funcionando consiger olhar posição erro
não consigar salvar cadastrar item sistema;Erro;consigar salvar cadastrar item
ser sap não reconhecer sap;Corretiva;reconhecer
sem acesso outlook outlook;Erro;outlook outlook
configurar sistema uso funcionáriamayra Ketlen nascimento barboso Loginmayranb configuração novo usuário;Melhorias;configurar uso funcionáriamayra nascimento barboso configuração novo
necessitar lançamento automático entrada nota serviço processo importação mesmo apropriem crédito cofim pis pois ir apropriar de esse crédito apuração imposto seguir anexo configuração dever ficar criar código impor ir apropriação crédito pis cofim lançamento pis cofins entrada importação;Melhorias;necessitar lançamento automático entrada nota serviço processo importação apropriem crédito cofim pis pois apropriar crédito apuração imposto seguir anexo configuração dever ficar criar código impor apropriação crédito lançamento pis cofins entrada importação
docum apresentar rejeição schema xml favor verificar motivo verificação nfe rejeição schema xml;Avaliação_Técnica;docum apresentar rejeição schema xml motivo verificação nfe rejeição schema xml
